CODE,LABEL
CNP004672,MARIANI ROGER
CNP004699,SCB
CNP004731,SOCIETE DES PLANTATIONS DAVAL & CO
CNP004750,NOUVELLE SPROA
CNP004763,ROUCHARD JACQUES
CNP004781,SOCIETE BANANIERE MAUBERT KABLAN
CNP004809,SIFCI
CNP004812,SOCIETE AFRICAINE DE PLANTATIONS D'HEVEAS
CNP004845,PLANTATION EGLIN JEA
CNP004879,AMBASSADE ITALIE
CNP004883,DIRECT. DIOCESAINE DE ENSEIGN. CATHO. ABENGOUROU
CNP004998,ZOO NATIONAL
CNP005037,AIR LIBAN
CNP005109,LIGUE LECTURE BIBLE
CNP005130,ZREIK GEORGES
CNP005166,PHARMACIE DE COCODY SARL
CNP005176,COMPAGNIE DES CAOUTCHOUCS DU PAKIDIE
CNP005224,ETS BALET PIERRE
CNP005263,SOCIETE INDUSTRIELLE THANRY
CNP005275,GRAND SEMINAIRE D'ANYAMA
CNP005278,CENTRE DE RECHERCHE ET D'ACTION POUR LA PAIX
CNP005299,CROIX ROUGE COTE DIV
CNP005304,LA RUTILANTE
CNP005338,BOULANGERIE EL SAYED
CNP005351,AGENCE INTERNATIONALE DE COMMERCIALISATION IMMO.
CNP005354,CROISADE DU LIVRE CHRETIEN
CNP005395,STATION GEO DE LAMTO
CNP005397,ECOLE PRIVEE AMAND BERTRAND
CNP005405,ISSAM MOHAMED
CNP005412,INSTITUT BIBLIQUE
CNP005532,EL NASR EXPORT & IMPORT
CNP005538,ECOLE L' EVEIL
CNP005574,LIBRAIRIE CARREFOUR
CNP005583,SOCIETE IVOIRIENNE DE CIMENTS ET MATERIAUX
CNP005663,DELEGATION DE L'UNION EUROPEENNE EN RCI
CNP005676,INDUSTRIAL PROMOTION SERVICES
CNP005764,CIVILE IMMOBILIERE BINGERVILLE 55 SUD
CNP005770,ASSOCIATION IVOIRIENNE DE GERANCE
CNP005802,COLLEGE N D AFRIQ
CNP005813,PHARMACIE DU COMMERCE
CNP005814,CHAMBRE NATIONALE D'AGRICULTURE DE COTE D'IVOIRE
CNP005829,DIALLO OUSMANE
CNP005841,PHARMACIE CHICAYA
CNP005892,FILTISAC S. A.
CNP005911,COLLEGE ND DE L'ASSOMPTION
CNP006079,SOCIETE DES CIMENTS D'ABIDJAN
CNP006115,EL ACHKAR JOSEPHINE
CNP006167,PHCIE DE KOUMASSI
CNP006180,BURIDA
CNP006191,SOCIETE NOUVELLE ABIDJANAISE DE CARTON ONDULE
CNP006247,CERCLE DE LA VOILE
CNP006287,DERGHAM SOUAD KHA
CNP006311,SOCIETE EXPANSION HORLOGERE AFRICAINE
CNP006313,CONSEIL DE L'ENTENTE
CNP006319,COMITE NATIONAL ANTITUBERCULEUX DE COTE D'IVOIRE
CNP006325,PETIT SEMINAIRE SAINT KISITO
CNP006331,GROUPE VOLTAIRE (G.V. IVESTP)
CNP006337,COLLEGE MGR KIRMANN
CNP006363,SOCIETE IVOIRIENNE DE PROMOTION DE SUPERMARCHES
CNP006468,COMPAGNIE DES CAOUTCHOUCS DU PAKIDIE (EX MACACI)
CNP006478,SOCIETE DE TELECOMMUNICATION AFRICAINE
CNP006525,AMBASSADE DES U.S.A.
CNP006575,AUTO ECOLE DE L'EST
CNP006583,AMBASSADE DE TUNISIE
CNP006621,TREICHOTEL
CNP006655,COLLEGE MODERNE CATH SAINT JEAN
CNP006689,SOCIETE AFRICAINE D'IMPORTATION
CNP006696,SEMINAIRE ST JOSEPH MUKASA
CNP006743,CHIMTEC
CNP006744,ECOLE DES PETITS
CNP006780,SAGECO
CNP006841,COLLEGE CATHOLIQUE DE L'ENFANT JESUS
CNP006862,KALIVOGUI N'GUYEN RESTAURANT H
CNP006867,CABINET MOUNA
CNP006871,PIZZA DISORRENTO
CNP006988,KABALANE ET CIE S A
CNP006991,ABIDJANAISE DE DISTRIBUTION.ET D'ALIMENTATION
CNP006994,GARAGE E. RUSSI & CIE
CNP007000,VILLAGE ENFANTS SOS
CNP007009,JABER ASSAD (BOULANGERIE DU JABER)
CNP007023,SOCIETE IVOIRIENNE DE FABRICATION DE LUBRIFIANTS
CNP007034,PRESSING UNITE AFRIC
CNP070427,CIEMEX CI
CNP007051,ATLANTIQUE ASSURANCES COTE D'IVOIRE
CNP007054,PHARMACIE NIACADIE
CNP007061,SOCIETE ABIDJANAISE DE CONSTRUTIONS MECANIQUES
CNP007081,PHARMACIE DU LEVANT
CNP007097,REDA MOHSEN ABDOUL
CNP007136,UNIWAX
CNP007218,STE INTERNATIONALE DE CHARCUTERIE ET DE SALAISONS
CNP007285,INSTITUT SAMAKE
CNP007289,UNIVERSITE CATHOLIQUE AFRIQUE DE L'OUEST
CNP007317,HUSSEIN SALAMI
CNP007346,UNION DES ASSURANCES DE COTE D'IVOIRE VIE
CNP007349,COLLEGE SAFOP
CNP007353,MISSION ECONOMIQUE DE L'AMBASSADE DE FRANCE
CNP007359,NID DE COCODY
CNP007428,MISSION DES SOEURES N.DAME A.
CNP007453,CENTRE DE PUBLICATIONS EVANGELIQUES
CNP007554,AMBASSADE DU GABON
CNP007576,BEUGRE DAMASE
CNP007684,SAFICA
CNP007718,SO.GE.I.CI
CNP007736,RESTAURANT LA PAGODE
CNP007797,DIRECTION ENSEIGNENT CATHOLIQUE MAN
CNP007810,DR. KOUASSI KOUAKOU EUGENE (PHARMACIE MAI CLAUDE)
CNP007832,PHARMACIE DU MARCHE
CNP007921,AMBASSADE DU BRESIL
CNP007922,IMPRIMERIE DU PLATEAU
CNP007981,ARCES
CNP008033,COLLEGE DE LA PROVIDENCE
CNP008039,ETABLISSEMENTS MARCOS ELIE
CNP008092,LA MAISON DE BAMBI
CNP008132,NOTRE DAME DES APOTR
CNP008268,COLLEGE CATHOLIQUE DE JEUNES FILLES
CNP008280,MICHCO
CNP008287,PHARMACIE DU CENTRE
CNP008291,INSTITUT OUEZZIN COULIBALY
CNP008327,HOTEL DU CENTRE
CNP008350,HOWARD HUMPHREYS
CNP008359,SITRANE
CNP008370,ENSEIGNEMENT CATHOLIQUE KORHOGO
CNP008434,KOUA ADOH ANTOINE
CNP008439,FARAH JOSEPH
CNP008466,EGLISE BAPTISTE
CNP008474,NOUVELLE ENTREPRISE ALLOU KONAN
CNP008561,ERNST & YOUNG
CNP008597,TOLES IVOIRE SA
CNP008636,OFFICE IVOIRIEN DES CHARGEURS
CNP008644,PHARMACIE WAKOUBOUE
CNP008674,UNILEVER COTE D' IVOIRE
CNP008679,AXA ASSURANCES COTE D'IVOIRE
CNP008693,SOREPCI
CNP008752,SOCIETE AFRICAINE DES PRODUITS LAITIERS
CNP008757,SOGEF
CNP008801,NOUVEAU GARAGE PAGANI
CNP008821,SICOGERE
CNP008876,COLLEGE DESCARTES
CNP008877,PARIS AUTO-ECOLE
CNP008889,COIFFURES SIMONE BOT
CNP008895,HARB KASSEM MOHAM
CNP008934,COLLEGE MODERNE PRIVE CHATEAU
CNP008942,PROMETAL AFRIQUE
CNP009001,BOULANGERIE DU CENTRE D'ABIDJAN
CNP009004,STE AFRI. DE FABRICATION INDUST.& DE REPRESENTAT.
CNP009023,MISSIONS AFRICAINES
CNP009044,OMEIFRA
CNP00905,HOTEL TERMINUS
CNP009095,AMBASSADE DU CANADA
CNP009104,SOCIETE MEROUEH FILS & COMPAGNIE
CNP009122,PANNELL KERR FORSTER
CNP009127,SOCIETE BORRO FRERES
CNP009131,UEESO-CI
CNP009143,LONACI SEM
CNP009217,ARCHEVECHE ABIDJAN
CNP009350,JEUNE CHAMBRE E
CNP009365,IVOIRIENNE DE PEINTURES ET LAQUES
CNP009403,ETS DIOP
CNP009419,ETUDES TECHNIQUES ET COORDINATION
CNP009420,ECOLE DE COMMERCE ET DE GESTION
CNP009442,LE CYGNE
CNP009607,GOETHE INSTITUT
CNP009629,MITSUBISHI CORPORATION
CNP009637,VOLIERE
CNP009645,COLGATE PALMOLIVE CI
CNP009688,SICOBEL
CNP009762,PUNCH
CNP009812,CONSEIL SYNDICAL RESIDENCE NEUILLY ANGOULVANT
CNP009851,PROJET DE GESTION INTEGREE DES RANCHS ET STATIONS
CNP009916,COMP. IVOIR. DE PROMO. POUR L'EXPORT. & L'IMPORT.
CNP010065,PORT DE SAN PEDRO
CNP010092,PHARMACIE PORT BOUET
CNP010187,COLLEGE MOD STE ANNE
CNP010257,HOTEL TIAMA
CNP010263,PAROISSE ST BERNARD
CNP010276,STE ABIDJANAISE D'IMPORTATION ET D'EXPORTATION
CNP010348,DIRECTION GENERALE DES ECOLES METHODISTES
CNP010393,INSTALLATIONS DE THERMIQUE INDUSTRIELLE
CNP010402,ASSOCIATION DES SOCIETES D'ELECTRICITE D'AFRIQUE
CNP010412,AMSA ASSURANCES COTE D'IVOIRE
CNP010427,COFRAL
CNP010432,SIMO
CNP010466,REAL
CNP010470,SOCIETE NOUVELLE MECANIQUE OUTILLAGE ET PRECISION
CNP010499,MOVIS COTE D'IVOIRE
CNP010504,SCTIP AMBASSADE F
CNP010507,WONDER CI
CNP010512,CROIX BLEUE C.A.
CNP010556,UTEXI
CNP010571,SOCIETE TROPICALE DE PAYSAGISME
CNP010575,AFI TECHNIK
CNP010594,COMPAGNIE IVOIRIENNE D'AVITAILLEMENT MARITIME
CNP010607,COLLEGE ST JEAN BOSCO
CNP010667,AMBASSADE D'ESPAGNE
CNP010672,SEMPA SAN PEDRO
CNP010674,MOVIS CÔTE D'IVOIRE
CNP010686,SCI DU TF 4770
CNP010696,BOULANGERIE MODERNE DU CENTRE
CNP010706,PECHE EQUIPEMENT
CNP010715,PREMOTO S A
CNP010780,BESSE KOFFI ANDRE (HOTEL LA SOLIDARITE )
CNP010793,CENTRE BETHANIE
CNP010806,GOLY KOUASSI M
CNP010830,SISEP
CNP010839,SITBAI NO 1
CNP010877,COFIPECHE
CNP010885,COMPTOIR LORRAIN
CNP010977,CTRE IVOIRIEN DE RECHERCHES ECONOMIQUES & SOCIALES
CNP010989,ALI YASSINE
CNP011022,PEPINIERE DES DEUX PLATEAUX
CNP011023,LUTINS
CNP011046,SANOU GNOUMAN STE RISCLE
CNP011095,SAO
CNP011113,SIPMAG
CNP011114,COLLEGE LA RUCHE
CNP011142,SON OPTIQUE COMPAGNIE
CNP011176,MCCANN ABIDJAN
CNP011220,FUNDAMENTAL RESOURCES CORPORATION
CNP011230,SOCIETE NOUVELLE DE CONFISERIE DE VRIDI
CNP011248,COLLEGE SEPI DE YOPOUGON
CNP011276,LES SEPT NAINS
CNP011277,PETIT FAON
CNP011284,INSTITUT TRABOUE KOUASSI
CNP011304,EHOUMOUD EBY X
CNP011321,IVOIR GARDIENNAGE
CNP011344,GAUFF HP KG
CNP011374,COLLEGE NOTRE DAME DE LA PAIX D'ABADJIN KOUTE
CNP011464,"GROUPE DES ENSEIGN SEC., SUPERIEURS ET TECHNOLO"
CNP011521,IMPRIMERIE ABIDJANAISE
CNP011544,STE DE CABOTAGE ET D'ENTREPOSAGE DU SUD-OUEST
CNP011580,OMNIUM TROPICAL
CNP011613,MAITRE MARCELLE DENISE-RICHMOND
CNP011617,SOCOMELEC IVOIRE
CNP011618,SIPARCOCI
CNP011656,CMB ABIDJAN
CNP011671,ECOLE VICTOR SCHOELCHER
CNP011679,SOCIETE POUR LE COMPOUNDAGE EN COTE D'IVOIRE
CNP011681,STE IVOIRIENNE DE CONTROLE TECHNIQUE AUTO.
CNP011686,PATISSERIE DES ARTS
CNP011687,PHARMACIE DES ARTS
CNP011780,GHABRIS MOHAMED
CNP011789,FORACO CI
CNP011827,ALM AFRIQUE DE L'OUEST
CNP011858,STE IVOIRIENNE DE DISTRIBUTION ET D'IMPORT-EXPORT
CNP011889,PETIT POUCET
CNP011894,SOCAFRE
CNP011909,CTRE D'APPRENTISSAGE & DE FORMATION PROF.DE BONOUA
CNP011927,MISSION CATHOLIQUE NOUVEAU KOUMASSI
CNP011947,COLLEGE MODERNE PRIVE D'ADZOPE
CNP011990,CENTRE MEDICAL MISSION PROTESTANTE
CNP011991,HOTEL BEAU SEJOUR
CNP011995,PIECES IMPORT EXPRESS
CNP012003,SETACI SA
CNP012033,ADAMA DEMBELE
CNP012052,ITRACO
CNP012053,ETHIOPIAN AIRLINES
CNP012102,CIVILE IMMO AZUR
CNP012104,LABORATOIRE PFIZER
CNP012110,NONCIATURE APOSTOLIQ
CNP012112,BRINK'S WEST AFRICA
CNP012138,AFRIC LIBRAIRIE
CNP012152,SOCOTEC-AFRICA
CNP012167,SOCIETE COMMERCIALE AFRICAINE
CNP012170,MANUFACTURE D'IMPRIMERIE ET DE CARTONNAGE IVOIRI.
CNP012171,CAMPC
CNP012174,CITIBANK COTE D' IVOIRE
CNP012209,GROUPE SCO FAIDHERBE
CNP012223,SAHYOUN JEAN PIER
CNP012259,BEGI
CNP012266,SOCIETE ABIDJANAISE DE DEPANAGE
CNP012268,PHARMACIE ARRAS
CNP012291,STE IVOIRIENNE D'ASCENSEURS ET APPAREILS DE LEVAGE
CNP012292,GROUPE FARANDOLE INTERNATIONALE
CNP012317,SOCIETE IVOIRIENNE DE CABLES
CNP012342,PRICEWATERHOUSECOOPERS
CNP012346,SOCIETE IVOIRIENNE D'EMBALLAGE
CNP012391,LYCEE JACQUES AKA
CNP012428,PHARMACIE DE LA PAIX
CNP012455,EQUANT COTE D'IVOIRE S.A
CNP012490,DROCOLOR
CNP012568,STATION TOTAL IMST
CNP012583,NOUVELLE SEEG (IMMO-GM)
CNP012629,PHARMACIE ET LABORATOIRE DU LONGCHAMP SARL
CNP012630,PHARMACIE DU CARREFOUR
CNP012652,PETROCI HOLDING
CNP012946,GRESSIER PAUL
CNP012959,MISSION BAPTISTE MERIDIONALE
CNP012983,BOY CHRISTIAN
CNP013157,FAKHRY TAMER
CNP013238,SOEURS DE JESUS AU T
CNP013814,HOUPHOUET BOIGNY FRANCOIS
CNP013898,COMMUNAUTE MARIANIST
CNP014241,MESQUIDA JEAN BAPTISTE
CNP014554,CLUB DU SOLEIL C I
CNP015250,FRERES SACRE COEUR
CNP015256,SOEURS DE LA CHARITE N D D' EVRON
CNP015551,SCI LES ACACIAS
CNP015729,NEYBECKER BERNADETTE
CNP016216,COLLEGE CATHOLIQUE SAINT HENRI DE OSSO
CNP016973,SOEURS DES PAUVRES D'ABOISSO
CNP017109,DERIVES DES PRODUITS CHIMIQUES
CNP017186,DAUPHIN CHANTAL
CNP017190,SERVAIR ABIDJAN
CNP017264,ROYAL AIR MAROC
CNP017272,UNICO
CNP017329,GOLF HOTEL SPDC
CNP017331,MME EGNANKOU
CNP017345,LA NOUVELLE PHARMACIE DES HIBISCUS
CNP017368,COFIPA INVESTMENT BANK C.I.
CNP017425,SOCIETE IVOIRIENNE DE PRODUCTIONS ANIMALES
CNP017555,CHAMPROUX SA
CNP017796,SEGEB
CNP017799,MINISTERE DE LA CULTURE
CNP017810,IVOIRIENNE DE PIECES DE RECHANGES
CNP017941,ETTE LILIANE
CNP017965,GRCI
CNP017999,PACKING SERVICE
CNP018012,ORGANISATION INTER AFRICAINE DU CAFE (OIAC)
CNP018032,S.N. CIERIA
CNP018049,COURS CASTAING
CNP018050,MINISTERE DES MINES ET DE L'ENERGIE
CNP018081,CROUY DANIELLE
CNP018146,IEF
CNP018167,PHARMACIE J TIACOH
CNP018168,PHARMACIE ET LABORATOIRE PLACE DE LA REPUBLIQUE
CNP018172,DOUKOURE MOUSTAPHA ALAIN
CNP018248,SOCIETE INTERNATIONALE DE LINGUISTIQUE
CNP018262,NIANGORAN THERESE
CNP018351,MR NDOUFOU D ON
CNP018358,FABRIQUE IVOIRIENNNE DE PARQUETS
CNP018360,PECHE ET FROID COTE D'IVOIRE
CNP018385,FEDERATION IVOIRIENNE DE FOOTBALL
CNP018421,MARILLIER CLAUDE
CNP018582,DEPROMHY
CNP018699,ETUDE DE MAITRE ANGELE KOUASSI
CNP018750,EGLISE CATH ST MICHEL
CNP018802,SCI RESIDENCE LA CORNICHE
CNP018803,IMMEUBLE NASSAR ET GHADDAR
CNP018821,BENEFICIAL LIFE INSURANCE CO.
CNP018906,PHARMACIE MADOU
CNP018909,MAZARS COTE D'IVOIRE
CNP018944,DAP
CNP019005,COLLEGE M. AMOIKON DIHYE
CNP019023,SOFIDEC
CNP019026,JARDIN DENFANTS M CA
CNP019029,CONSEILS ASSOCIES EN AFRIQUE
CNP019055,SOLIBRA BOUAFLE
CNP019070,COLLEGE NOTRE DAME DU PLATEAU
CNP019077,SIMALU
CNP019177,ML KEBE SERE
CNP019269,L'ART IVOIRIEN
CNP019317,COLLEGE M FADIGA
CNP019327,PATIVOIRE
CNP019350,PAROISSE N.D.AFRIQUE
CNP019448,CENTRE MEDICO-PEDIATRIQUE DE COCODY
CNP019449,MINISTERE DU COMMERCE
CNP019544,CAMAC-CI
CNP019548,BENIAKROU EHOULE JAMES
